"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.418033530E-1,6.495000422E-2,-7.905000448E-2,9.868050575E0,9.868580929E0
7.443140430E-1,-1.050000079E-3,-6.195000187E-2,9.889950752E0,9.890144831E0
7.468245820E-1,3.000000026E-3,-4.305000231E-2,9.873000145E0,9.873094457E0
7.493380670E-1,0.000000000E0,-8.100000024E-2,9.820050240E0,9.820384295E0
7.518458390E-1,2.205000073E-2,-7.200000435E-2,9.829950333E0,9.830238743E0
7.543565290E-1,4.950000439E-3,-9.795000404E-2,9.861000061E0,9.861487763E0
7.568672980E-1,-6.000000052E-3,-7.695000619E-2,9.862950325E0,9.863252325E0
7.593805290E-1,4.950000439E-3,-5.700000376E-2,9.841950417E0,9.842116719E0
7.618883000E-1,4.605000094E-2,-8.595000207E-2,9.853950500E0,9.854432935E0
7.643989910E-1,3.795000166E-2,-8.400000632E-2,9.850950241E0,9.851381469E0
7.669095290E-1,4.950000439E-3,-6.495000422E-2,9.850950241E0,9.851165599E0
7.694229770E-1,2.895000204E-2,-7.905000448E-2,9.841950417E0,9.842310451E0
7.719307480E-1,4.605000094E-2,-7.395000011E-2,9.825000763E0,9.825386974E0
7.744414380E-1,7.050000131E-3,-6.495000422E-2,9.862950325E0,9.863166698E0
7.769519770E-1,3.000000026E-3,-7.905000448E-2,9.817950249E0,9.818268941E0
7.794654520E-1,1.200000010E-2,-7.200000435E-2,9.835050583E0,9.835321447E0
7.819732230E-1,2.595000155E-2,-9.300000221E-2,9.856050491E0,9.856523408E0
7.844839140E-1,1.695000008E-2,-8.895000070E-2,9.898950577E0,9.899364723E0
7.869944520E-1,0.000000000E0,-6.900000572E-2,9.847050667E0,9.847292411E0
7.895079090E-1,2.205000073E-2,-7.395000011E-2,9.850950241E0,9.851252482E0
7.920156800E-1,1.395000052E-2,-7.905000448E-2,9.874950409E0,9.875276659E0
7.945263700E-1,-1.050000079E-3,-9.300000221E-2,9.862950325E0,9.863388830E0
